#k-distance eigenvalue[eV]
0.00000000 -47.54240000
0.03590776 -47.54390000
0.07181553 -47.54540000
0.10772329 -47.54710000
0.14363104 -47.54880000
0.17953882 -47.55060000
0.21544658 -47.55250000
0.25135433 -47.55440000
0.28726211 -47.55640000
0.32316986 -47.55840000
0.35907762 -47.56030000
0.39498539 -47.56230000
0.43089315 -47.56420000
0.46680091 -47.56600000
0.50270868 -47.56780000
0.53861644 -47.56940000
0.57452420 -47.57090000
0.61043197 -47.57230000
0.64633973 -47.57360000
0.68224748 -47.57460000
0.71815526 -47.57550000
0.75406301 -47.57630000
0.78997077 -47.57680000
0.82587855 -47.57710000
0.86178630 -47.57720000
0.86178630 -47.57720000
0.88649940 -47.57710000
0.91121250 -47.57700000
0.93592560 -47.57680000
0.96063869 -47.57650000
0.98535180 -47.57610000
1.01006489 -47.57560000
1.03477798 -47.57500000
1.05949109 -47.57440000
1.08420418 -47.57370000
1.10891728 -47.57290000
1.13363038 -47.57200000
1.15834348 -47.57110000
1.18305657 -47.57010000
1.20776967 -47.56900000
1.23248277 -47.56790000
1.25719586 -47.56670000
1.28190897 -47.56550000
1.30662206 -47.56430000
1.33133516 -47.56300000
1.35604826 -47.56170000
1.38076136 -47.56040000
1.40547445 -47.55900000
1.43018755 -47.55770000
1.45490065 -47.55630000
1.45490065 -47.55630000
1.49080841 -47.55620000
1.52671618 -47.55610000
1.56262394 -47.55580000
1.59853169 -47.55540000
1.63443947 -47.55490000
1.67034722 -47.55430000
1.70625498 -47.55360000
1.74216275 -47.55280000
1.77807051 -47.55200000
1.81397827 -47.55120000
1.84988604 -47.55030000
1.88579380 -47.54940000
1.92170155 -47.54850000
1.95760933 -47.54760000
1.99351708 -47.54670000
2.02942484 -47.54590000
2.06533261 -47.54510000
2.10124037 -47.54440000
2.13714813 -47.54380000
2.17305590 -47.54330000
2.20896366 -47.54290000
2.24487142 -47.54260000
2.28077919 -47.54250000
2.31668695 -47.54240000
2.31668695 -47.54240000
2.35259470 -47.54230000
2.38850248 -47.54220000
2.42441023 -47.54190000
2.46031799 -47.54150000
2.49622576 -47.54100000
2.53213352 -47.54040000
2.56804128 -47.53970000
2.60394905 -47.53900000
2.63985681 -47.53820000
2.67576457 -47.53730000
2.71167234 -47.53650000
2.74758010 -47.53560000
2.78348785 -47.53470000
2.81939563 -47.53380000
2.85530338 -47.53290000
2.89121114 -47.53210000
2.92711892 -47.53140000
