#k-distance eigenvalue[eV]
0.00000000 -47.56050000
0.03588576 -47.56190000
0.07177153 -47.56340000
0.10765729 -47.56500000
0.14354304 -47.56670000
0.17942882 -47.56840000
0.21531458 -47.57030000
0.25120033 -47.57220000
0.28708611 -47.57410000
0.32297186 -47.57600000
0.35885762 -47.57790000
0.39474339 -47.57980000
0.43062915 -47.58170000
0.46651491 -47.58350000
0.50240068 -47.58520000
0.53828644 -47.58680000
0.57417219 -47.58830000
0.61005797 -47.58970000
0.64594373 -47.59090000
0.68182948 -47.59200000
0.71771526 -47.59280000
0.75360101 -47.59350000
0.78948677 -47.59400000
0.82537254 -47.59430000
0.86125830 -47.59440000
0.86125830 -47.59440000
0.88589221 -47.59440000
0.91052614 -47.59430000
0.93516006 -47.59410000
0.95979397 -47.59370000
0.98442790 -47.59340000
1.00906181 -47.59290000
1.03369573 -47.59240000
1.05832965 -47.59170000
1.08296357 -47.59100000
1.10759748 -47.59030000
1.13223141 -47.58940000
1.15686532 -47.58850000
1.18149924 -47.58750000
1.20613316 -47.58650000
1.23076708 -47.58540000
1.25540099 -47.58430000
1.28003492 -47.58320000
1.30466883 -47.58190000
1.32930275 -47.58070000
1.35393667 -47.57940000
1.37857059 -47.57810000
1.40320450 -47.57680000
1.42783843 -47.57550000
1.45247234 -47.57420000
1.45247234 -47.57420000
1.48835810 -47.57410000
1.52424387 -47.57400000
1.56012963 -47.57370000
1.59601538 -47.57330000
1.63190116 -47.57280000
1.66778691 -47.57220000
1.70367267 -47.57150000
1.73955844 -47.57080000
1.77544420 -47.57000000
1.81132996 -47.56910000
1.84721573 -47.56820000
1.88310149 -47.56730000
1.91898724 -47.56640000
1.95487302 -47.56560000
1.99075877 -47.56470000
2.02664453 -47.56390000
2.06253030 -47.56320000
2.09841606 -47.56250000
2.13430182 -47.56190000
2.17018759 -47.56140000
2.20607335 -47.56100000
2.24195910 -47.56070000
2.27784488 -47.56050000
2.31373063 -47.56050000
2.31373063 -47.56050000
2.34961639 -47.56040000
2.38550217 -47.56020000
2.42138792 -47.56000000
2.45727368 -47.55960000
2.49315945 -47.55910000
2.52904521 -47.55850000
2.56493097 -47.55780000
2.60081674 -47.55710000
2.63670250 -47.55630000
2.67258825 -47.55540000
2.70847403 -47.55460000
2.74435978 -47.55370000
2.78024554 -47.55280000
2.81613132 -47.55190000
2.85201707 -47.55110000
2.88790283 -47.55030000
2.92378860 -47.54960000
2.95967436 -47.54890000
2.99556012 -47.54830000
3.03144589 -47.54780000
3.06733165 -47.54740000
3.10321740 -47.54710000
3.13910318 -47.54700000
3.17498893 -47.54690000
3.17498893 -47.54690000
3.22573906 -47.54700000
3.27648921 -47.54740000
3.32723933 -47.54790000
3.37798945 -47.54870000
3.42873960 -47.54970000
3.47948973 -47.55090000
3.53023985 -47.55220000
3.58099000 -47.55370000
3.63174012 -47.55530000
3.68249025 -47.55700000
3.73324039 -47.55870000
3.78399052 -47.56050000
3.83474064 -47.56230000
3.88549079 -47.56410000
3.93624091 -47.56570000
3.98699104 -47.56730000
4.03774118 -47.56880000
4.08849131 -47.57020000
4.13924143 -47.57140000
4.18999158 -47.57240000
4.24074170 -47.57310000
4.29149183 -47.57370000
4.34224198 -47.57410000
4.39299210 -47.57420000

0.00000000 -47.56050000
0.03588576 -47.55920000
0.07177153 -47.55810000
0.10765729 -47.55700000
0.14354304 -47.55620000
0.17942882 -47.55540000
0.21531458 -47.55470000
0.25120033 -47.55420000
0.28708611 -47.55380000
