# energy dos(up) dos(down)
-9.590299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.506999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.423600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.340299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.256999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.173600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.090299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-9.006999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.923600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.840299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.756999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.673600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.590299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.506999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.423600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.340299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.256999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.173600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.090299999999999159e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.006999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.923600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.840300000000000047e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.756999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.673600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.590300000000000047e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.506999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.423600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.340300000000000047e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.256999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.173600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.090300000000000047e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.006999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.923600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
