#k-distance eigenvalue[eV]
0.00000000 -47.46010000
0.03626584 -47.46190000
0.07253170 -47.46370000
0.10879755 -47.46570000
0.14506339 -47.46780000
0.18132925 -47.47000000
0.21759509 -47.47220000
0.25386094 -47.47450000
0.29012680 -47.47690000
0.32639264 -47.47920000
0.36265849 -47.48150000
0.39892435 -47.48390000
0.43519019 -47.48610000
0.47145603 -47.48830000
0.50772189 -47.49030000
0.54398774 -47.49230000
0.58025358 -47.49410000
0.61651944 -47.49570000
0.65278528 -47.49720000
0.68905113 -47.49850000
0.72531699 -47.49950000
0.76158283 -47.50040000
0.79784867 -47.50100000
0.83411453 -47.50130000
0.87038038 -47.50140000
0.87038038 -47.50140000
0.89544544 -47.50140000
0.92051052 -47.50120000
0.94557558 -47.50100000
0.97064064 -47.50060000
0.99570572 -47.50010000
1.02077078 -47.49950000
1.04583584 -47.49880000
1.07090092 -47.49810000
1.09596598 -47.49720000
1.12103104 -47.49620000
1.14609612 -47.49520000
1.17116118 -47.49400000
1.19622625 -47.49280000
1.22129132 -47.49150000
1.24635638 -47.49020000
1.27142145 -47.48880000
1.29648652 -47.48730000
1.32155158 -47.48580000
1.34661665 -47.48420000
1.37168172 -47.48270000
1.39674679 -47.48100000
1.42181185 -47.47940000
1.44687692 -47.47780000
1.47194199 -47.47610000
1.47194199 -47.47610000
1.50820783 -47.47600000
1.54447369 -47.47580000
1.58073953 -47.47550000
1.61700538 -47.47500000
1.65327124 -47.47440000
1.68953708 -47.47380000
1.72580292 -47.47300000
1.76206878 -47.47210000
1.79833463 -47.47120000
1.83460047 -47.47020000
1.87086633 -47.46920000
1.90713218 -47.46810000
1.94339802 -47.46710000
1.97966388 -47.46600000
2.01592972 -47.46510000
2.05219557 -47.46410000
2.08846143 -47.46320000
2.12472727 -47.46250000
2.16099311 -47.46180000
2.19725897 -47.46120000
2.23352482 -47.46070000
2.26979066 -47.46040000
2.30605652 -47.46020000
2.34232236 -47.46010000
2.34232236 -47.46010000
2.37858821 -47.46000000
2.41485407 -47.45980000
2.45111991 -47.45950000
2.48738575 -47.45910000
2.52365162 -47.45850000
2.55991746 -47.45780000
2.59618330 -47.45700000
2.63244916 -47.45620000
2.66871501 -47.45520000
2.70498085 -47.45430000
2.74124671 -47.45320000
2.77751255 -47.45220000
2.81377840 -47.45120000
2.85004426 -47.45020000
2.88631010 -47.44920000
2.92257594 -47.44830000
2.95884180 -47.44740000
2.99510765 -47.44660000
3.03137349 -47.44590000
3.06763935 -47.44540000
3.10390519 -47.44490000
3.14017104 -47.44460000
3.17643690 -47.44440000
3.21270274 -47.44430000
3.21270274 -47.44430000
3.26399039 -47.44450000
3.31527806 -47.44490000
3.36656571 -47.44550000
3.41785336 -47.44640000
3.46914103 -47.44760000
3.52042868 -47.44900000
3.57171632 -47.45050000
3.62300400 -47.45220000
3.67429164 -47.45410000
3.72557929 -47.45610000
3.77686696 -47.45810000
3.82815461 -47.46020000
3.87944226 -47.46220000
3.93072993 -47.46430000
3.98201758 -47.46630000
4.03330522 -47.46810000
4.08459290 -47.46990000
4.13588054 -47.47140000
4.18716819 -47.47280000
4.23845586 -47.47400000
4.28974351 -47.47490000
4.34103116 -47.47560000
4.39231883 -47.47600000
4.44360648 -47.47610000

0.00000000 -47.46010000
0.03626584 -47.45850000
0.07253170 -47.45710000
0.10879755 -47.45580000
0.14506339 -47.45460000
0.18132925 -47.45360000
0.21759509 -47.45270000
0.25386094 -47.45200000
0.29012680 -47.45140000
0.32639264 -47.45090000
0.36265849 -47.45060000
0.39892435 -47.45030000
0.43519019 -47.45010000
0.47145603 -47.45000000
0.50772189 -47.45000000
0.54398774 -47.45000000
0.58025358 -47.45010000
0.61651944 -47.45020000
0.65278528 -47.45030000
0.68905113 -47.45040000
0.72531699 -47.45050000
0.76158283 -47.45050000
0.79784867 -47.45060000
0.83411453 -47.45060000
0.87038038 -47.45070000
0.87038038 -47.45070000
0.89544544 -47.45070000
0.92051052 -47.45090000
0.94557558 -47.45110000
0.97064064 -47.45150000
0.99570572 -47.45200000
1.02077078 -47.45260000
1.04583584 -47.45330000
1.07090092 -47.45410000
1.09596598 -47.45490000
1.12103104 -47.45590000
1.14609612 -47.45700000
1.17116118 -47.45810000
1.19622625 -47.45930000
1.22129132 -47.46060000
1.24635638 -47.46200000
1.27142145 -47.46340000
1.29648652 -47.46490000
1.32155158 -47.46640000
1.34661665 -47.46790000
1.37168172 -47.46950000
1.39674679 -47.47110000
1.42181185 -47.47280000
1.44687692 -47.47440000
1.47194199 -47.47610000
1.47194199 -47.47610000
1.50820783 -47.47600000
1.54447369 -47.47580000
1.58073953 -47.47550000
1.61700538 -47.47500000
1.65327124 -47.47440000
1.68953708 -47.47380000
1.72580292 -47.47300000
1.76206878 -47.47210000
1.79833463 -47.47120000
1.83460047 -47.47020000
1.87086633 -47.46910000
1.90713218 -47.46810000
1.94339802 -47.46710000
1.97966388 -47.46600000
2.01592972 -47.46500000
2.05219557 -47.46410000
2.08846143 -47.46320000
2.12472727 -47.46240000
2.16099311 -47.46180000
2.19725897 -47.46120000
2.23352482 -47.46070000
2.26979066 -47.46040000
2.30605652 -47.46020000
2.34232236 -47.46010000
2.34232236 -47.46010000
2.37858821 -47.46000000
2.41485407 -47.45980000
2.45111991 -47.45950000
2.48738575 -47.45900000
2.52365162 -47.45850000
2.55991746 -47.45780000
2.59618330 -47.45700000
2.63244916 -47.45620000
2.66871501 -47.45520000
2.70498085 -47.45430000
2.74124671 -47.45320000
2.77751255 -47.45220000
2.81377840 -47.45120000
2.85004426 -47.45020000
2.88631010 -47.44920000
2.92257594 -47.44830000
2.95884180 -47.44740000
2.99510765 -47.44660000
3.03137349 -47.44590000
3.06763935 -47.44540000
3.10390519 -47.44490000
3.14017104 -47.44460000
3.17643690 -47.44440000
3.21270274 -47.44430000
3.21270274 -47.44430000
3.26399039 -47.44440000
3.31527806 -47.44490000
3.36656571 -47.44550000
3.41785336 -47.44640000
3.46914103 -47.44760000
3.52042868 -47.44900000
3.57171632 -47.45050000
3.62300400 -47.45220000
3.67429164 -47.45410000
3.72557929 -47.45610000
3.77686696 -47.45810000
3.82815461 -47.46020000
3.87944226 -47.46220000
3.93072993 -47.46430000
3.98201758 -47.46630000
4.03330522 -47.46810000
4.08459290 -47.46990000
4.13588054 -47.47140000
4.18716819 -47.47280000
4.23845586 -47.47400000
4.28974351 -47.47490000
4.34103116 -47.47560000
4.39231883 -47.47600000
4.44360648 -47.47610000

0.00000000 -25.95380000
0.03626584 -25.95520000
0.07253170 -25.95340000
0.10879755 -25.94860000
0.14506339 -25.94070000
0.18132925 -25.92990000
0.21759509 -25.91640000
0.25386094 -25.90820000
0.29012680 -25.91870000
0.32639264 -25.93390000
0.36265849 -25.95130000
0.39892435 -25.96930000
0.43519019 -25.98720000
0.47145603 -26.00450000
0.50772189 -26.02100000
0.54398774 -26.03650000
0.58025358 -26.05070000
0.61651944 -26.06360000
0.65278528 -26.07500000
0.68905113 -26.08470000
0.72531699 -26.09290000
0.76158283 -26.09920000
0.79784867 -26.10380000
0.83411453 -26.10660000
0.87038038 -26.10750000
0.87038038 -26.10750000
0.89544544 -26.10690000
0.92051052 -26.10520000
0.94557558 -26.10230000
0.97064064 -26.09820000
0.99570572 -26.09290000
1.02077078 -26.08660000
1.04583584 -26.07910000
1.07090092 -26.07050000
1.09596598 -26.06090000
1.12103104 -26.05020000
1.14609612 -26.03850000
1.17116118 -26.02590000
1.19622625 -26.01230000
1.22129132 -25.99780000
1.24635638 -25.98250000
1.27142145 -25.96640000
1.29648652 -25.94960000
1.32155158 -25.93210000
1.34661665 -25.91400000
1.37168172 -25.89530000
1.39674679 -25.87610000
1.42181185 -25.85660000
1.44687692 -25.83660000
1.47194199 -25.81650000
1.47194199 -25.81650000
1.50820783 -25.81770000
1.54447369 -25.82120000
1.58073953 -25.82720000
1.61700538 -25.83550000
1.65327124 -25.84600000
1.68953708 -25.85870000
1.72580292 -25.87330000
1.76206878 -25.88960000
1.79833463 -25.90730000
1.83460047 -25.92610000
1.87086633 -25.94550000
1.90713218 -25.96530000
1.94339802 -25.98490000
1.97966388 -26.00390000
2.01592972 -26.02200000
2.05219557 -26.03880000
2.08846143 -26.05400000
2.12472727 -26.06710000
2.16099311 -26.07800000
2.19725897 -26.08640000
2.23352482 -26.09220000
2.26979066 -26.09510000
2.30605652 -26.09500000
2.34232236 -26.09210000
2.34232236 -26.09210000
2.37858821 -26.09150000
2.41485407 -26.08970000
2.45111991 -26.08680000
2.48738575 -26.08280000
2.52365162 -26.07770000
2.55991746 -26.07160000
2.59618330 -26.06450000
2.63244916 -26.05660000
2.66871501 -26.04790000
2.70498085 -26.03850000
2.74124671 -26.02850000
2.77751255 -26.01820000
2.81377840 -26.00760000
2.85004426 -25.99690000
2.88631010 -25.98620000
2.92257594 -25.97580000
2.95884180 -25.96590000
2.99510765 -25.95660000
