#k-distance eigenvalue[eV]
0.00000000 -47.52700000
0.05077477 -47.52840000
0.10154957 -47.52980000
0.15232434 -47.53110000
0.20309911 -47.53240000
0.25387390 -47.53350000
0.30464867 -47.53460000
0.35542345 -47.53550000
0.40619824 -47.53630000
0.45697301 -47.53700000
0.50774778 -47.53740000
0.55852258 -47.53770000
0.60929735 -47.53780000
0.66007212 -47.53770000
0.71084692 -47.53740000
0.76162169 -47.53700000
0.81239646 -47.53630000
0.86317125 -47.53550000
0.91394602 -47.53460000
0.96472079 -47.53350000
1.01549559 -47.53240000
1.06627036 -47.53110000
1.11704513 -47.52980000
1.16781993 -47.52840000
1.21859470 -47.52700000

0.00000000 -47.52700000
0.05077477 -47.52560000
0.10154957 -47.52420000
0.15232434 -47.52280000
0.20309911 -47.52160000
0.25387390 -47.52040000
0.30464867 -47.51940000
0.35542345 -47.51840000
0.40619824 -47.51770000
0.45697301 -47.51700000
0.50774778 -47.51660000
0.55852258 -47.51630000
0.60929735 -47.51620000
0.66007212 -47.51630000
0.71084692 -47.51660000
0.76162169 -47.51700000
0.81239646 -47.51770000
0.86317125 -47.51840000
0.91394602 -47.51940000
0.96472079 -47.52040000
1.01549559 -47.52160000
1.06627036 -47.52280000
1.11704513 -47.52420000
1.16781993 -47.52560000
1.21859470 -47.52700000

0.00000000 -25.96170000
0.05077477 -25.96310000
0.10154957 -25.96240000
0.15232434 -25.95950000
0.20309911 -25.95470000
0.25387390 -25.94820000
0.30464867 -25.94020000
0.35542345 -25.93120000
0.40619824 -25.92180000
0.45697301 -25.91280000
0.50774778 -25.90520000
0.55852258 -25.90040000
0.60929735 -25.90060000
0.66007212 -25.90040000
0.71084692 -25.90520000
0.76162169 -25.91280000
0.81239646 -25.92180000
0.86317125 -25.93120000
0.91394602 -25.94020000
0.96472079 -25.94820000
1.01549559 -25.95470000
1.06627036 -25.95950000
1.11704513 -25.96240000
1.16781993 -25.96310000
1.21859470 -25.96170000

0.00000000 -25.96170000
0.05077477 -25.95830000
0.10154957 -25.95300000
0.15232434 -25.94600000
0.20309911 -25.93760000
0.25387390 -25.92850000
0.30464867 -25.91930000
0.35542345 -25.91110000
0.40619824 -25.90490000
0.45697301 -25.90150000
0.50774778 -25.90040000
0.55852258 -25.90000000
0.60929735 -25.89820000
0.66007212 -25.90000000
0.71084692 -25.90040000
0.76162169 -25.90150000
0.81239646 -25.90490000
0.86317125 -25.91110000
0.91394602 -25.91930000
0.96472079 -25.92850000
1.01549559 -25.93760000
1.06627036 -25.94600000
1.11704513 -25.95300000
1.16781993 -25.95830000
1.21859470 -25.96170000

0.00000000 -25.74560000
0.05077477 -25.76240000
0.10154957 -25.77890000
0.15232434 -25.79450000
0.20309911 -25.80900000
0.25387390 -25.82190000
0.30464867 -25.83260000
0.35542345 -25.84050000
0.40619824 -25.84490000
0.45697301 -25.84570000
0.50774778 -25.84420000
0.55852258 -25.84220000
0.60929735 -25.84140000
0.66007212 -25.84220000
0.71084692 -25.84420000
0.76162169 -25.84570000
0.81239646 -25.84490000
0.86317125 -25.84050000
0.91394602 -25.83260000
0.96472079 -25.82190000
1.01549559 -25.80900000
1.06627036 -25.79450000
1.11704513 -25.77890000
1.16781993 -25.76240000
1.21859470 -25.74560000

0.00000000 -25.74560000
0.05077477 -25.72870000
0.10154957 -25.71210000
0.15232434 -25.69630000
0.20309911 -25.68190000
0.25387390 -25.66960000
0.30464867 -25.66110000
0.35542345 -25.65890000
0.40619824 -25.66370000
0.45697301 -25.67210000
0.50774778 -25.68020000
0.55852258 -25.68600000
0.60929735 -25.68810000
0.66007212 -25.68600000
0.71084692 -25.68020000
0.76162169 -25.67210000
0.81239646 -25.66370000
0.86317125 -25.65890000
0.91394602 -25.66110000
0.96472079 -25.66960000
1.01549559 -25.68190000
1.06627036 -25.69630000
1.11704513 -25.71210000
1.16781993 -25.72870000
1.21859470 -25.74560000

0.00000000 -25.55710000
0.05077477 -25.56230000
0.10154957 -25.56950000
0.15232434 -25.57840000
0.20309911 -25.58840000
0.25387390 -25.59880000
0.30464867 -25.60770000
0.35542345 -25.61230000
0.40619824 -25.61130000
0.45697301 -25.60760000
0.50774778 -25.60380000
0.55852258 -25.60290000
0.60929735 -25.60430000
0.66007212 -25.60290000
