#k-distance eigenvalue[eV]
0.00000000 -47.79370000
0.04977919 -47.79470000
0.09955840 -47.79570000
0.14933759 -47.79660000
0.19911677 -47.79750000
0.24889598 -47.79840000
0.29867517 -47.79910000
0.34845436 -47.79980000
0.39823357 -47.80040000
0.44801276 -47.80080000
0.49779194 -47.80110000
0.54757115 -47.80130000
0.59735034 -47.80140000
0.64712953 -47.80130000
0.69690874 -47.80110000
0.74668793 -47.80080000
0.79646711 -47.80040000
0.84624633 -47.79980000
0.89602551 -47.79910000
0.94580470 -47.79840000
0.99558391 -47.79750000
1.04536310 -47.79660000
1.09514229 -47.79570000
1.14492150 -47.79470000
1.19470068 -47.79370000
1.19470068 -47.81960000
1.22989988 -47.81950000
1.26509910 -47.81930000
1.30029830 -47.81890000
1.33549750 -47.81840000
1.37069672 -47.81770000
1.40589592 -47.81690000
1.44109512 -47.81590000
1.47629434 -47.81490000
1.51149354 -47.81380000
1.54669274 -47.81250000
1.58189196 -47.81120000
1.61709116 -47.80980000
1.65229036 -47.80840000
1.68748958 -47.80700000
1.72268878 -47.80550000
1.75788798 -47.80400000
1.79308720 -47.80250000
1.82828640 -47.80110000
1.86348560 -47.79970000
1.89868482 -47.79840000
1.93388402 -47.79710000
1.96908322 -47.79590000
2.00428244 -47.79470000
2.03948164 -47.79370000
2.03948164 -47.79370000
2.07468084 -47.79360000
2.10988006 -47.79350000
2.14507926 -47.79330000
2.18027846 -47.79300000
2.21547768 -47.79260000
2.25067688 -47.79210000
2.28587608 -47.79160000
2.32107530 -47.79110000
2.35627450 -47.79040000
2.39147370 -47.78980000
2.42667292 -47.78910000
2.46187212 -47.78840000
2.49707132 -47.78780000
2.53227054 -47.78710000
2.56746974 -47.78640000
2.60266894 -47.78580000
2.63786815 -47.78530000
2.67306736 -47.78480000
2.70826656 -47.78430000
2.74346577 -47.78390000
2.77866497 -47.78360000
2.81386418 -47.78340000
2.84906339 -47.78330000
2.88426259 -47.78320000
2.88426259 -47.78320000
2.93404178 -47.78340000
2.98382099 -47.78380000
3.03360018 -47.78460000
3.08337937 -47.78570000
3.13315858 -47.78700000
3.18293777 -47.78860000
3.23271695 -47.79030000
3.28249616 -47.79230000
3.33227535 -47.79450000
3.38205454 -47.79670000
3.43183375 -47.79900000
3.48161294 -47.80140000
3.53139212 -47.80380000
3.58117133 -47.80610000
3.63095052 -47.80840000
3.68072971 -47.81050000
3.73050892 -47.81250000
3.78028811 -47.81430000
3.83006729 -47.81580000
3.87984651 -47.81710000
3.92962569 -47.81820000
3.97940488 -47.81900000
4.02918409 -47.81940000
4.07896328 -47.81960000
4.07896328 -47.81960000
4.10329113 -47.81950000
4.12761900 -47.81940000
4.15194686 -47.81930000
4.17627471 -47.81900000
4.20060258 -47.81880000
4.22493043 -47.81840000
4.24925829 -47.81800000
4.27358616 -47.81750000
4.29791401 -47.81700000
4.32224187 -47.81640000
4.34656973 -47.81580000
4.37089759 -47.81510000
4.39522544 -47.81430000
4.41955331 -47.81360000
4.44388117 -47.81270000
4.46820902 -47.81190000
4.49253689 -47.81100000
4.51686474 -47.81010000
4.54119260 -47.80910000
4.56552047 -47.80820000
4.58984832 -47.80720000
4.61417618 -47.80620000
4.63850404 -47.80520000
4.66283190 -47.80420000
4.66283190 -47.80420000
4.71261108 -47.80410000
4.76239030 -47.80380000
4.81216948 -47.80340000
4.86194867 -47.80280000
4.91172788 -47.80200000
4.96150707 -47.80110000
5.01128626 -47.80010000
5.06106547 -47.79890000
5.11084465 -47.79770000
5.16062384 -47.79640000
5.21040305 -47.79500000
5.26018224 -47.79370000
5.30996143 -47.79230000
5.35974064 -47.79100000
5.40951983 -47.78970000
5.45929901 -47.78840000
5.50907822 -47.78730000
5.55885741 -47.78630000
5.60863660 -47.78540000
5.65841581 -47.78460000
5.70819500 -47.78400000
5.75797418 -47.78360000
5.80775339 -47.78330000
5.85753258 -47.78320000
5.85753258 -47.78320000
5.88186044 -47.78320000
5.90618830 -47.78320000
5.93051616 -47.78320000
5.95484401 -47.78320000
5.97917188 -47.78320000
6.00349974 -47.78320000
6.02782759 -47.78320000
6.05215546 -47.78320000
6.07648331 -47.78320000
6.10081117 -47.78320000
6.12513904 -47.78320000
6.14946689 -47.78320000
6.17379475 -47.78320000
6.19812261 -47.78320000
6.22245047 -47.78320000
6.24677832 -47.78320000
6.27110619 -47.78320000
6.29543405 -47.78320000
6.31976190 -47.78320000
6.34408977 -47.78320000
6.36841762 -47.78320000
6.39274548 -47.78320000
6.41707335 -47.78320000
6.44140120 -47.78320000
6.44140120 -47.80420000
6.47660040 -47.80410000
6.51179962 -47.80400000
6.54699882 -47.80380000
6.58219802 -47.80350000
6.61739724 -47.80310000
6.65259644 -47.80260000
6.68779564 -47.80210000
6.72299486 -47.80160000
6.75819406 -47.80090000
6.79339326 -47.80030000
6.82859248 -47.79960000
6.86379168 -47.79890000
6.89899088 -47.79820000
6.93419010 -47.79760000
6.96938930 -47.79690000
7.00458850 -47.79630000
7.03978772 -47.79570000
7.07498692 -47.79520000
7.11018612 -47.79470000
7.14538534 -47.79440000
7.18058454 -47.79400000
7.21578374 -47.79380000
7.25098296 -47.79370000
7.28618216 -47.79360000

0.00000000 -47.79370000
0.04977919 -47.79270000
0.09955840 -47.79170000
0.14933759 -47.79070000
0.19911677 -47.78980000
0.24889598 -47.78900000
0.29867517 -47.78820000
0.34845436 -47.78760000
0.39823357 -47.78700000
0.44801276 -47.78660000
0.49779194 -47.78620000
0.54757115 -47.78600000
0.59735034 -47.78600000
0.64712953 -47.78600000
0.69690874 -47.78620000
0.74668793 -47.78660000
0.79646711 -47.78700000
0.84624633 -47.78760000
0.89602551 -47.78820000
0.94580470 -47.78900000
0.99558391 -47.78980000
1.04536310 -47.79070000
1.09514229 -47.79170000
1.14492150 -47.79270000
1.19470068 -47.79370000
1.19470068 -47.78880000
1.22989988 -47.78870000
1.26509910 -47.78870000
1.30029830 -47.78870000
1.33549750 -47.78860000
1.37069672 -47.78850000
1.40589592 -47.78840000
1.44109512 -47.78830000
1.47629434 -47.78820000
1.51149354 -47.78810000
1.54669274 -47.78800000
1.58189196 -47.78800000
1.61709116 -47.78800000
1.65229036 -47.78810000
1.68748958 -47.78820000
1.72268878 -47.78830000
1.75788798 -47.78860000
1.79308720 -47.78890000
1.82828640 -47.78930000
1.86348560 -47.78980000
1.89868482 -47.79040000
1.93388402 -47.79110000
1.96908322 -47.79180000
2.00428244 -47.79270000
2.03948164 -47.79370000
2.03948164 -47.79370000
2.07468084 -47.79360000
2.10988006 -47.79350000
2.14507926 -47.79330000
2.18027846 -47.79300000
2.21547768 -47.79260000
2.25067688 -47.79210000
2.28587608 -47.79160000
2.32107530 -47.79110000
2.35627450 -47.79040000
2.39147370 -47.78980000
2.42667292 -47.78910000
2.46187212 -47.78840000
2.49707132 -47.78780000
2.53227054 -47.78710000
2.56746974 -47.78640000
2.60266894 -47.78580000
2.63786815 -47.78530000
2.67306736 -47.78480000
2.70826656 -47.78430000
2.74346577 -47.78390000
2.77866497 -47.78360000
2.81386418 -47.78340000
2.84906339 -47.78330000
2.88426259 -47.78320000
2.88426259 -47.78320000
2.93404178 -47.78320000
2.98382099 -47.78330000
3.03360018 -47.78340000
3.08337937 -47.78360000
3.13315858 -47.78380000
3.18293777 -47.78400000
3.23271695 -47.78430000
3.28249616 -47.78460000
3.33227535 -47.78490000
3.38205454 -47.78530000
3.43183375 -47.78560000
3.48161294 -47.78600000
3.53139212 -47.78630000
3.58117133 -47.78670000
3.63095052 -47.78700000
3.68072971 -47.78740000
3.73050892 -47.78770000
3.78028811 -47.78790000
3.83006729 -47.78820000
3.87984651 -47.78840000
3.92962569 -47.78850000
3.97940488 -47.78870000
4.02918409 -47.78870000
4.07896328 -47.78880000
4.07896328 -47.78880000
4.10329113 -47.78880000
4.12761900 -47.78890000
4.15194686 -47.78910000
4.17627471 -47.78930000
4.20060258 -47.78960000
4.22493043 -47.78990000
4.24925829 -47.79030000
4.27358616 -47.79080000
4.29791401 -47.79140000
4.32224187 -47.79200000
4.34656973 -47.79260000
4.37089759 -47.79330000
4.39522544 -47.79400000
4.41955331 -47.79480000
4.44388117 -47.79560000
4.46820902 -47.79650000
4.49253689 -47.79740000
4.51686474 -47.79830000
4.54119260 -47.79920000
4.56552047 -47.80020000
4.58984832 -47.80120000
4.61417618 -47.80220000
4.63850404 -47.80320000
4.66283190 -47.80420000
4.66283190 -47.80420000
4.71261108 -47.80410000
4.76239030 -47.80380000
4.81216948 -47.80340000
4.86194867 -47.80280000
4.91172788 -47.80200000
4.96150707 -47.80110000
5.01128626 -47.80010000
5.06106547 -47.79890000
5.11084465 -47.79770000
5.16062384 -47.79640000
5.21040305 -47.79500000
5.26018224 -47.79370000
5.30996143 -47.79230000
5.35974064 -47.79100000
5.40951983 -47.78970000
5.45929901 -47.78840000
5.50907822 -47.78730000
5.55885741 -47.78630000
5.60863660 -47.78540000
5.65841581 -47.78460000
5.70819500 -47.78400000
5.75797418 -47.78360000
5.80775339 -47.78330000
5.85753258 -47.78320000
5.85753258 -47.78320000
5.88186044 -47.78320000
5.90618830 -47.78320000
5.93051616 -47.78320000
5.95484401 -47.78320000
5.97917188 -47.78320000
6.00349974 -47.78320000
6.02782759 -47.78320000
6.05215546 -47.78320000
6.07648331 -47.78320000
6.10081117 -47.78320000
6.12513904 -47.78320000
6.14946689 -47.78320000
6.17379475 -47.78320000
6.19812261 -47.78320000
6.22245047 -47.78320000
6.24677832 -47.78320000
6.27110619 -47.78320000
6.29543405 -47.78320000
6.31976190 -47.78320000
6.34408977 -47.78320000
6.36841762 -47.78320000
6.39274548 -47.78320000
6.41707335 -47.78320000
6.44140120 -47.78320000
6.44140120 -47.80420000
6.47660040 -47.80410000
6.51179962 -47.80400000
6.54699882 -47.80380000
6.58219802 -47.80350000
6.61739724 -47.80310000
6.65259644 -47.80260000
6.68779564 -47.80210000
