#k-distance eigenvalue[eV]
0.00000000 -48.16000000
0.04835692 -48.16060000
0.09671387 -48.16120000
0.14507080 -48.16180000
0.19342772 -48.16240000
0.24178467 -48.16290000
0.29014159 -48.16330000
0.33849852 -48.16370000
0.38685547 -48.16410000
0.43521239 -48.16440000
0.48356932 -48.16460000
0.53192626 -48.16470000
0.58028319 -48.16470000
0.62864011 -48.16470000
0.67699706 -48.16460000
0.72535399 -48.16440000
0.77371091 -48.16410000
0.82206786 -48.16370000
0.87042478 -48.16330000
0.91878171 -48.16290000
0.96713866 -48.16240000
1.01549558 -48.16180000
1.06385251 -48.16120000
1.11220945 -48.16060000
1.16056638 -48.16000000

0.00000000 -48.16000000
0.04835692 -48.15940000
0.09671387 -48.15880000
0.14507080 -48.15820000
0.19342772 -48.15770000
0.24178467 -48.15720000
0.29014159 -48.15670000
0.33849852 -48.15630000
0.38685547 -48.15600000
0.43521239 -48.15570000
0.48356932 -48.15550000
0.53192626 -48.15540000
0.58028319 -48.15540000
0.62864011 -48.15540000
0.67699706 -48.15550000
0.72535399 -48.15570000
0.77371091 -48.15600000
0.82206786 -48.15630000
0.87042478 -48.15670000
0.91878171 -48.15720000
0.96713866 -48.15770000
1.01549558 -48.15820000
1.06385251 -48.15880000
1.11220945 -48.15940000
1.16056638 -48.16000000

0.00000000 -26.39120000
0.04835692 -26.39110000
0.09671387 -26.38960000
0.14507080 -26.38680000
0.19342772 -26.38290000
0.24178467 -26.38120000
0.29014159 -26.38070000
0.33849852 -26.38130000
0.38685547 -26.38270000
0.43521239 -26.38430000
0.48356932 -26.38560000
0.53192626 -26.38650000
0.58028319 -26.38680000
0.62864011 -26.38650000
0.67699706 -26.38560000
0.72535399 -26.38430000
0.77371091 -26.38270000
0.82206786 -26.38130000
0.87042478 -26.38070000
0.91878171 -26.38120000
0.96713866 -26.38290000
1.01549558 -26.38680000
1.06385251 -26.38960000
1.11220945 -26.39110000
1.16056638 -26.39120000

0.00000000 -26.39120000
0.04835692 -26.39010000
0.09671387 -26.38810000
0.14507080 -26.38540000
0.19342772 -26.38260000
0.24178467 -26.37720000
0.29014159 -26.37080000
0.33849852 -26.36370000
0.38685547 -26.35630000
0.43521239 -26.34930000
0.48356932 -26.34330000
0.53192626 -26.33920000
0.58028319 -26.33780000
0.62864011 -26.33920000
0.67699706 -26.34330000
0.72535399 -26.34930000
0.77371091 -26.35630000
0.82206786 -26.36370000
0.87042478 -26.37080000
0.91878171 -26.37720000
0.96713866 -26.38260000
1.01549558 -26.38540000
1.06385251 -26.38810000
1.11220945 -26.39010000
1.16056638 -26.39120000

0.00000000 -26.30900000
0.04835692 -26.31550000
0.09671387 -26.32130000
0.14507080 -26.32590000
0.19342772 -26.32860000
0.24178467 -26.32900000
0.29014159 -26.32660000
