#k-distance eigenvalue[eV]
0.00000000 -48.20320000
0.03387093 -48.20380000
0.06774187 -48.20440000
0.10161280 -48.20500000
0.13548373 -48.20570000
0.16935468 -48.20640000
0.20322561 -48.20720000
0.23709654 -48.20800000
0.27096748 -48.20880000
0.30483841 -48.20960000
0.33870934 -48.21040000
0.37258029 -48.21120000
0.40645121 -48.21200000
0.44032214 -48.21270000
0.47419309 -48.21350000
0.50806402 -48.21420000
0.54193495 -48.21480000
0.57580589 -48.21540000
0.60967682 -48.21590000
0.64354775 -48.21640000
0.67741870 -48.21680000
0.71128962 -48.21700000
0.74516055 -48.21730000
0.77903150 -48.21740000
0.81290243 -48.21740000
0.81290243 -48.21740000
0.83631225 -48.21740000
0.85972209 -48.21740000
0.88313191 -48.21730000
0.90654173 -48.21720000
0.92995157 -48.21700000
0.95336139 -48.21680000
0.97677121 -48.21660000
1.00018105 -48.21640000
1.02359087 -48.21610000
1.04700069 -48.21580000
1.07041053 -48.21550000
1.09382035 -48.21510000
1.11723017 -48.21480000
1.14064001 -48.21430000
1.16404983 -48.21390000
1.18745965 -48.21350000
1.21086949 -48.21300000
1.23427931 -48.21260000
1.25768913 -48.21210000
1.28109897 -48.21160000
1.30450879 -48.21110000
1.32791861 -48.21060000
1.35132845 -48.21010000
1.37473827 -48.20950000
1.37473827 -48.20950000
1.40860920 -48.20950000
1.44248014 -48.20940000
1.47635107 -48.20930000
1.51022200 -48.20910000
1.54409295 -48.20890000
1.57796388 -48.20860000
1.61183481 -48.20830000
1.64570575 -48.20800000
1.67957668 -48.20760000
1.71344761 -48.20720000
1.74731856 -48.20680000
1.78118948 -48.20640000
1.81506041 -48.20600000
1.84893136 -48.20560000
1.88280229 -48.20520000
1.91667322 -48.20480000
1.95054416 -48.20450000
1.98441509 -48.20420000
2.01828602 -48.20390000
2.05215697 -48.20370000
2.08602790 -48.20350000
2.11989882 -48.20340000
2.15376977 -48.20330000
2.18764070 -48.20320000
2.18764070 -48.20320000
2.22151163 -48.20320000
2.25538257 -48.20310000
2.28925350 -48.20300000
2.32312443 -48.20280000
2.35699538 -48.20260000
2.39086631 -48.20230000
2.42473723 -48.20200000
2.45860818 -48.20170000
2.49247911 -48.20130000
2.52635004 -48.20090000
2.56022098 -48.20050000
2.59409191 -48.20010000
2.62796284 -48.19970000
2.66183379 -48.19930000
2.69570472 -48.19890000
2.72957565 -48.19850000
2.76344659 -48.19820000
2.79731752 -48.19790000
2.83118845 -48.19760000
2.86505939 -48.19740000
2.89893032 -48.19720000
2.93280125 -48.19710000
2.96667220 -48.19700000
3.00054313 -48.19700000
3.00054313 -48.19700000
3.04844385 -48.19700000
3.09634460 -48.19720000
3.14424533 -48.19750000
3.19214606 -48.19780000
3.24004681 -48.19830000
3.28794754 -48.19880000
3.33584826 -48.19940000
3.38374901 -48.20010000
3.43164974 -48.20090000
3.47955047 -48.20160000
3.52745122 -48.20240000
3.57535195 -48.20330000
3.62325267 -48.20410000
3.67115342 -48.20490000
3.71905415 -48.20570000
3.76695488 -48.20640000
3.81485563 -48.20710000
3.86275636 -48.20770000
3.91065708 -48.20820000
3.95855783 -48.20870000
4.00645856 -48.20910000
4.05435929 -48.20930000
4.10226004 -48.20950000
4.15016077 -48.20950000

0.00000000 -48.20320000
0.03387093 -48.20280000
0.06774187 -48.20230000
0.10161280 -48.20190000
0.13548373 -48.20160000
0.16935468 -48.20140000
0.20322561 -48.20110000
0.23709654 -48.20100000
0.27096748 -48.20090000
0.30483841 -48.20080000
0.33870934 -48.20080000
0.37258029 -48.20080000
0.40645121 -48.20080000
0.44032214 -48.20090000
0.47419309 -48.20090000
0.50806402 -48.20100000
0.54193495 -48.20110000
0.57580589 -48.20120000
0.60967682 -48.20130000
0.64354775 -48.20140000
0.67741870 -48.20150000
0.71128962 -48.20160000
0.74516055 -48.20160000
0.77903150 -48.20160000
0.81290243 -48.20160000
0.81290243 -48.20160000
0.83631225 -48.20160000
0.85972209 -48.20170000
0.88313191 -48.20180000
0.90654173 -48.20190000
0.92995157 -48.20210000
0.95336139 -48.20220000
0.97677121 -48.20250000
1.00018105 -48.20270000
1.02359087 -48.20300000
1.04700069 -48.20330000
1.07041053 -48.20360000
1.09382035 -48.20400000
1.11723017 -48.20430000
1.14064001 -48.20470000
1.16404983 -48.20520000
1.18745965 -48.20560000
1.21086949 -48.20600000
1.23427931 -48.20650000
1.25768913 -48.20700000
1.28109897 -48.20750000
1.30450879 -48.20800000
1.32791861 -48.20850000
1.35132845 -48.20900000
1.37473827 -48.20950000
1.37473827 -48.20950000
1.40860920 -48.20950000
1.44248014 -48.20940000
1.47635107 -48.20930000
1.51022200 -48.20910000
1.54409295 -48.20890000
1.57796388 -48.20860000
1.61183481 -48.20830000
1.64570575 -48.20800000
1.67957668 -48.20760000
1.71344761 -48.20720000
1.74731856 -48.20680000
1.78118948 -48.20640000
1.81506041 -48.20600000
1.84893136 -48.20560000
1.88280229 -48.20520000
1.91667322 -48.20480000
1.95054416 -48.20450000
1.98441509 -48.20420000
2.01828602 -48.20390000
2.05215697 -48.20370000
2.08602790 -48.20350000
2.11989882 -48.20330000
2.15376977 -48.20330000
2.18764070 -48.20320000
2.18764070 -48.20320000
2.22151163 -48.20320000
2.25538257 -48.20310000
2.28925350 -48.20300000
2.32312443 -48.20280000
2.35699538 -48.20260000
2.39086631 -48.20230000
2.42473723 -48.20200000
2.45860818 -48.20170000
2.49247911 -48.20130000
2.52635004 -48.20090000
2.56022098 -48.20050000
2.59409191 -48.20010000
2.62796284 -48.19970000
2.66183379 -48.19930000
2.69570472 -48.19890000
2.72957565 -48.19850000
2.76344659 -48.19820000
2.79731752 -48.19790000
2.83118845 -48.19760000
2.86505939 -48.19740000
2.89893032 -48.19720000
2.93280125 -48.19710000
2.96667220 -48.19700000
3.00054313 -48.19700000
3.00054313 -48.19700000
3.04844385 -48.19700000
3.09634460 -48.19720000
3.14424533 -48.19750000
3.19214606 -48.19780000
3.24004681 -48.19830000
3.28794754 -48.19880000
3.33584826 -48.19940000
3.38374901 -48.20010000
3.43164974 -48.20090000
3.47955047 -48.20160000
3.52745122 -48.20240000
3.57535195 -48.20330000
3.62325267 -48.20410000
3.67115342 -48.20490000
3.71905415 -48.20570000
3.76695488 -48.20640000
3.81485563 -48.20710000
3.86275636 -48.20770000
3.91065708 -48.20820000
3.95855783 -48.20870000
4.00645856 -48.20910000
4.05435929 -48.20930000
4.10226004 -48.20950000
4.15016077 -48.20950000

0.00000000 -26.40150000
0.03387093 -26.40120000
0.06774187 -26.40050000
0.10161280 -26.40040000
0.13548373 -26.40180000
0.16935468 -26.40500000
0.20322561 -26.40960000
0.23709654 -26.41520000
0.27096748 -26.42120000
0.30483841 -26.42740000
0.33870934 -26.43380000
0.37258029 -26.44000000
0.40645121 -26.44610000
0.44032214 -26.45190000
0.47419309 -26.45740000
0.50806402 -26.46250000
0.54193495 -26.46730000
0.57580589 -26.47150000
0.60967682 -26.47530000
0.64354775 -26.47860000
0.67741870 -26.48130000
0.71128962 -26.48340000
0.74516055 -26.48490000
0.77903150 -26.48580000
0.81290243 -26.48610000
0.81290243 -26.48610000
0.83631225 -26.48590000
0.85972209 -26.48530000
0.88313191 -26.48420000
0.90654173 -26.48280000
0.92995157 -26.48090000
0.95336139 -26.47850000
0.97677121 -26.47580000
1.00018105 -26.47270000
1.02359087 -26.46930000
1.04700069 -26.46550000
1.07041053 -26.46130000
1.09382035 -26.45680000
1.11723017 -26.45190000
1.14064001 -26.44680000
1.16404983 -26.44140000
1.18745965 -26.43570000
1.21086949 -26.42980000
1.23427931 -26.42360000
1.25768913 -26.41730000
1.28109897 -26.41090000
1.30450879 -26.40420000
1.32791861 -26.39750000
1.35132845 -26.39070000
1.37473827 -26.38380000
1.37473827 -26.38380000
1.40860920 -26.38410000
1.44248014 -26.38490000
1.47635107 -26.38620000
1.51022200 -26.38810000
1.54409295 -26.39050000
1.57796388 -26.39360000
1.61183481 -26.39720000
1.64570575 -26.40140000
1.67957668 -26.40620000
1.71344761 -26.41150000
1.74731856 -26.41720000
1.78118948 -26.42330000
1.81506041 -26.42960000
1.84893136 -26.43590000
1.88280229 -26.44210000
1.91667322 -26.44800000
1.95054416 -26.45330000
1.98441509 -26.45790000
2.01828602 -26.46160000
2.05215697 -26.46420000
2.08602790 -26.46560000
2.11989882 -26.46580000
2.15376977 -26.46450000
2.18764070 -26.46180000
2.18764070 -26.46180000
2.22151163 -26.46160000
2.25538257 -26.46090000
2.28925350 -26.45980000
2.32312443 -26.45820000
2.35699538 -26.45610000
2.39086631 -26.45370000
2.42473723 -26.45080000
2.45860818 -26.44760000
2.49247911 -26.44410000
2.52635004 -26.44020000
2.56022098 -26.43610000
2.59409191 -26.43180000
2.62796284 -26.42730000
2.66183379 -26.42270000
2.69570472 -26.41800000
2.72957565 -26.41340000
2.76344659 -26.40880000
2.79731752 -26.40440000
2.83118845 -26.40040000
2.86505939 -26.39670000
2.89893032 -26.39360000
2.93280125 -26.39120000
2.96667220 -26.38970000
3.00054313 -26.38920000
3.00054313 -26.38920000
3.04844385 -26.38950000
3.09634460 -26.39030000
3.14424533 -26.39150000
3.19214606 -26.39280000
3.24004681 -26.39410000
3.28794754 -26.39520000
3.33584826 -26.39610000
3.38374901 -26.39670000
3.43164974 -26.39690000
3.47955047 -26.39670000
3.52745122 -26.39630000
3.57535195 -26.39550000
3.62325267 -26.39450000
3.67115342 -26.39340000
3.71905415 -26.39210000
3.76695488 -26.39070000
3.81485563 -26.38940000
3.86275636 -26.38810000
3.91065708 -26.38690000
3.95855783 -26.38580000
4.00645856 -26.38500000
4.05435929 -26.38440000
4.10226004 -26.38400000
4.15016077 -26.38380000

0.00000000 -26.40150000
0.03387093 -26.40100000
0.06774187 -26.39910000
0.10161280 -26.39600000
0.13548373 -26.39140000
0.16935468 -26.38540000
0.20322561 -26.37820000
0.23709654 -26.36980000
0.27096748 -26.36060000
0.30483841 -26.35060000
0.33870934 -26.34030000
0.37258029 -26.32990000
0.40645121 -26.31990000
0.44032214 -26.31080000
0.47419309 -26.30280000
0.50806402 -26.29630000
0.54193495 -26.29100000
