#k-distance eigenvalue[eV]
0.00000000 -48.28440000
0.04790073 -48.28500000
0.09580148 -48.28550000
0.14370220 -48.28600000
0.19160293 -48.28640000
0.23950368 -48.28690000
0.28740441 -48.28730000
0.33530514 -48.28760000
0.38320589 -48.28790000
0.43110661 -48.28810000
0.47900734 -48.28830000
0.52690809 -48.28840000
0.57480882 -48.28840000
0.62270955 -48.28840000
0.67061030 -48.28830000
0.71851102 -48.28810000
0.76641175 -48.28790000
0.81431250 -48.28760000
0.86221323 -48.28730000
0.91011396 -48.28690000
0.95801471 -48.28640000
1.00591543 -48.28600000
1.05381616 -48.28550000
1.10171691 -48.28500000
1.14961764 -48.28440000
1.14961764 -48.29860000
1.18348857 -48.29860000
1.21735951 -48.29850000
1.25123044 -48.29820000
1.28510137 -48.29800000
1.31897232 -48.29760000
1.35284325 -48.29710000
1.38671418 -48.29660000
1.42058512 -48.29600000
1.45445605 -48.29540000
1.48832698 -48.29470000
1.52219792 -48.29390000
1.55606885 -48.29320000
1.58993978 -48.29240000
1.62381073 -48.29160000
1.65768166 -48.29080000
1.69155259 -48.29000000
1.72542353 -48.28920000
1.75929446 -48.28840000
1.79316539 -48.28760000
1.82703634 -48.28690000
1.86090726 -48.28620000
1.89477819 -48.28560000
1.92864914 -48.28500000
1.96252007 -48.28450000
1.96252007 -48.28450000
1.99639100 -48.28440000
2.03026194 -48.28430000
2.06413287 -48.28420000
2.09800380 -48.28400000
2.13187475 -48.28380000
2.16574567 -48.28350000
2.19961660 -48.28320000
2.23348755 -48.28290000
2.26735848 -48.28250000
2.30122941 -48.28210000
2.33510035 -48.28170000
2.36897128 -48.28130000
2.40284221 -48.28090000
2.43671316 -48.28050000
2.47058409 -48.28010000
2.50445501 -48.27980000
2.53832596 -48.27940000
2.57219689 -48.27910000
2.60606782 -48.27880000
2.63993876 -48.27860000
2.67380969 -48.27840000
2.70768062 -48.27830000
2.74155157 -48.27820000
2.77542250 -48.27820000
2.77542250 -48.27820000
2.82332322 -48.27830000
2.87122397 -48.27850000
2.91912470 -48.27900000
2.96702543 -48.27960000
3.01492618 -48.28030000
3.06282691 -48.28120000
3.11072763 -48.28220000
3.15862838 -48.28330000
3.20652911 -48.28450000
3.25442984 -48.28580000
3.30233059 -48.28710000
3.35023132 -48.28840000
3.39813204 -48.28970000
3.44603279 -48.29110000
3.49393352 -48.29230000
3.54183425 -48.29350000
3.58973500 -48.29460000
3.63763573 -48.29560000
3.68553645 -48.29650000
3.73343720 -48.29730000
3.78133793 -48.29790000
3.82923866 -48.29830000
3.87713941 -48.29860000
3.92504014 -48.29860000
3.92504014 -48.29860000
3.94844996 -48.29860000
3.97185979 -48.29860000
3.99526962 -48.29850000
4.01867944 -48.29840000
4.04208927 -48.29820000
4.06549910 -48.29800000
4.08890892 -48.29780000
4.11231875 -48.29760000
4.13572858 -48.29730000
4.15913840 -48.29700000
