dir Vol Pressure Evsk1 Evsk2 Evsk3 Evsk4 Evsk5
ZrO2-0.95 60.12 40.766    0    0    0    0  -.55671101E+02  
ZrO2-0.96 62.04 30.258    0    0    0    0  -.56095076E+02  
ZrO2-0.97 64.00 21.177    0    0    0    0  -.56409021E+02  
ZrO2-0.98 66.00 13.293    0    0    0    0  -.56624210E+02  
ZrO2-0.99 68.04 6.903    0    0    0    0  -.56751708E+02  
ZrO2-1.00 70.12 0.945    0    0    0    0  -.56799446E+02  
ZrO2-1.01 72.25 -4.055    0    0    0    0  -.56776868E+02  
ZrO2-1.02 74.41 -8.607    0    0    0    0  -.56691405E+02  
ZrO2-1.03 76.62 -11.996    0    0    0    0  -.56551038E+02  
ZrO2-1.04 78.88 -14.902    0    0    0    0  -.56361952E+02  
ZrO2-new-00 60.12 44.804  -.55667443E+02 -.55667753E+02 -.55667880E+02 -.55667996E+02 -.55668392E+02  
ZrO2-new-01 62.04 33.089  -.56094109E+02 -.56094426E+02 -.56094536E+02 -.56094685E+02 -.56094681E+02  
ZrO2-new-02 64.00 24.299  -.56406923E+02 -.56407263E+02 -.56407358E+02 -.56407542E+02 -.56407542E+02  
ZrO2-new-03 66.00 15.959  -.56623984E+02 -.56624284E+02 -.56624425E+02 -.56624598E+02 -.56624596E+02  
ZrO2-new-04 68.04 8.952  -.56751131E+02 -.56751468E+02 -.56751562E+02 -.56751755E+02 -.56751756E+02  
ZrO2-new-05 70.12 2.903  -.56798684E+02 -.56799052E+02 -.56799160E+02 -.56799361E+02 -.56799352E+02  
ZrO2-new-06 72.25 -1.976  -.56776327E+02 -.56776549E+02 -.56776701E+02 -.56776968E+02 -.56777007E+02  
ZrO2-new-07 74.41 -6.297  -.56690390E+02 -.56690756E+02 -.56690936E+02 -.56691185E+02 -.56691240E+02  
ZrO2-new-08 76.62 -9.326  -.56553318E+02 -.56551013E+02 -.56551358E+02 -.56551635E+02 -.56551755E+02  
ZrO2-new-09 78.88 -12.62  -.56364329E+02 -.56361616E+02 -.56361981E+02 -.56362361E+02 -.56362521E+02  
ZrO2-new-10 81.17 -15.385  -.56131944E+02 -.56132281E+02 -.56130020E+02 -.56129909E+02 -.56129956E+02  
ZrO2-new-11 83.51 -17.162  -.55861763E+02 -.55858889E+02 -.55859274E+02 -.55859740E+02 -.55860007E+02  
ZrO2-new-12 85.90 -19.076  -.55558600E+02 -.55555534E+02 -.55555878E+02 -.55556296E+02 -.55556496E+02  
