dir  vol  preassure  Indirect  Indirect-finger Direct 
ZrO2-new-00 60.12 448.04  3.807 3.807 4.138
ZrO2-new-01 62.04 330.89  3.838 3.855 4.112 
ZrO2-new-02 64.00 242.99  3.887 3.887 4.093
ZrO2-new-03 66.00 159.59  3.881 3.895 4.036
ZrO2-new-04 68.04 89.52   3.890 3.890 3.985
ZrO2-new-05 70.12 29.03   3.853 3.853 3.931
ZrO2-new-06 72.25 -19.76  3.760 3.760 3.889
ZrO2-new-07 74.41 -62.97  3.669 3.669 3.823
ZrO2-new-08 76.62 -93.26  3.569 3.569 3.761
ZrO2-new-09 78.88 -126.20 3.479 3.479 3.688
ZrO2-new-10 81.17 -153.85 3.381 3.381 3.617
ZrO2-new-11 83.51 -171.62 3.374 3.374 3.554
ZrO2-new-12 85.90 -190.76 3.290 3.290 3.487
