Vol#mass#value#bandno#spin#from#fname#to#toname
60.12#m_h#-37.647#23#(up)#[0.50, 0.50, 0.10]##[0.50, 0.50, 0.00]#(M)
60.12#m_h#-23.229#23#(up)#[0.50, 0.50, 0.10]##[0.50, 0.50, 0.50]#(A)
60.12#m_h#-37.647#24#(up)#[0.50, 0.50, 0.10]##[0.50, 0.50, 0.00]#(M)
60.12#m_h#-23.229#24#(up)#[0.50, 0.50, 0.10]##[0.50, 0.50, 0.50]#(A)
60.12#m_e#0.557#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
60.12#m_e#0.671#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
60.12#m_e#1.946#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
62.04#m_h#-20.561#23#(up)#[0.50, 0.50, 0.38]##[0.50, 0.50, 0.00]#(M)
62.04#m_h#-39.598#23#(up)#[0.50, 0.50, 0.38]##[0.50, 0.50, 0.50]#(A)
62.04#m_h#-20.561#24#(up)#[0.50, 0.50, 0.38]##[0.50, 0.50, 0.00]#(M)
62.04#m_h#-39.598#24#(up)#[0.50, 0.50, 0.38]##[0.50, 0.50, 0.50]#(A)
62.04#m_e#0.578#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
62.04#m_e#0.648#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
62.04#m_e#2.013#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
64.00#m_h#-0.733#23#(up)#[0.50, 0.50, 0.50]# (A)#[0.00, 0.00, 0.50]#(Z)
64.00#m_h#-7.994#23#(up)#[0.50, 0.50, 0.50]# (A)#[0.50, 0.50, 0.00]#(M)
64.00#m_h#-0.733#24#(up)#[0.50, 0.50, 0.50]# (A)#[0.00, 0.00, 0.50]#(Z)
64.00#m_h#-7.994#24#(up)#[0.50, 0.50, 0.50]# (A)#[0.50, 0.50, 0.00]#(M)
64.00#m_e#0.592#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
64.00#m_e#0.645#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
64.00#m_e#2.057#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
66.00#m_h#-0.804#23#(up)#[0.50, 0.50, 0.50]# (A)#[0.00, 0.00, 0.50]#(Z)
66.00#m_h#-4.772#23#(up)#[0.50, 0.50, 0.50]# (A)#[0.50, 0.50, 0.00]#(M)
66.00#m_h#-0.804#24#(up)#[0.50, 0.50, 0.50]# (A)#[0.00, 0.00, 0.50]#(Z)
66.00#m_h#-4.772#24#(up)#[0.50, 0.50, 0.50]# (A)#[0.50, 0.50, 0.00]#(M)
66.00#m_e#0.609#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.00, 0.00]#(X)
66.00#m_e#0.657#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.50, 0.50, 0.00]#(M)
66.00#m_e#2.129#25#(up)#[0.00, 0.00, 0.00]# (\Gamma)#[0.00, 0.00, 0.50]#(Z)
68.04#m_h#-0.919#23#(up)#[0.50, 0.50, 0.50]# (A)#[0.00, 0.00, 0.50]#(Z)
68.04#m_h#-3.479#23#(up)#[0.50, 0.50, 0.50]# (A)#[0.50, 0.50, 0.00]#(M)
68.04#m_h#-0.919#24#(up)#[0.50, 0.50, 0.50]# (A)#[0.00, 0.00, 0.50]#(Z)
